Date,Treatment,Day,Time,Engaged,Relevant,Attitude
10/21,1A,1,97,5,5,5
10/22,1A,2,70,4,5,5
10/23,1A,3,40,4,3,3
10/24,1A,4,71,4,4,4
10/25,1A,5,82,4,3,4
10/26,1A,6,42,5,5,5
10/27,1A,7,31,4,3,4
10/28,1B,1,23,1,1,2
10/29,1B,2,13,1,1,2
10/30,1B,3,20,3,2,3
10/31,1B,4,38,4,3,3
11/1,1B,5,38,5,4,4
11/2,1B,6,5,2,2,3
11/3,1B,7,48,4,4,4
11/4,2A,1,138,4,5,4
11/5,2A,2,64,2,2,3
11/6,2A,3,64,3,3,4
11/7,2A,4,-1,-1,-1,-1
11/8,2A,5,43,3,3,3
11/9,2A,6,7,3,2,3
11/10,2A,7,53,4,4,4
11/11,2B,1,4,1,2,2
11/12,2B,2,18,3,2,3
11/13,2B,3,34,3,1,2
11/14,2B,4,21,2,2,2
11/15,2B,5,31,4,4,4
11/16,2B,6,82,4,4,4
11/17,2B,7,81,5,5,4
